Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Revenue
10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,"1,50,00,000","$10,83,00,000.00"
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,"4,50,00,000","$6,94,00,000.00"
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Baltasar Kormákur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,"6,10,00,000","$13,19,00,000.00"
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,"5,50,00,000","$20,15,00,000.00"
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,"8,45,00,000","$33,13,00,000.00"
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,"11,00,00,000","$33,76,00,000.00"
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,"4,00,00,000","$9,75,00,000.00"
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,"81,00,000","$29,00,000.00"
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,"50,00,000","$48,00,000.00"
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,"9,20,00,000","$30,47,00,000.00"
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,"25,00,000","$6,01,00,000.00"
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,"40,00,000","$2,40,00,000.00"
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,"2,27,00,000","$71,00,000.00"
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,"2,00,00,000","$1,20,00,000.00"
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,"1,50,00,000","$3,62,00,000.00"
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,"4,00,00,000","$2,20,00,000.00"
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,"2,80,00,000","$5,88,00,000.00"
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,"80,00,000","$3,60,00,000.00"
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,"9,95,00,000","$11,64,00,000.00"
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,"13,00,00,000","$24,38,00,000.00"
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,"40,00,000","$10,00,000.00"
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,"3,50,00,000","$3,46,00,000.00"
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,"5,20,00,000","$2,63,00,000.00"
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,"9,00,00,000","$23,48,00,000.00"
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,"5,00,00,000","$23,50,00,000.00"
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,"5,88,00,000","$54,74,00,000.00"
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,"2,80,00,000","$2,71,00,000.00"
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,"34,00,000","$2,20,00,000.00"
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,"65,00,000","$25,69,00,000.00"
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Will Gluck,,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,"6,50,00,000","$13,38,00,000.00"
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,"13,00,00,000","$51,94,00,000.00"
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,"4,45,00,000","$23,23,00,000.00"
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,"50,00,000","$50,00,000.00"
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,"2,00,00,000","$12,42,00,000.00"
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,"2,00,00,000","$5,50,00,000.00"
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,"25,00,00,000","$87,27,00,000.00"
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,"35,00,000","$44,00,000.00"
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,"2,00,00,000","$1,65,00,000.00"
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Peter Berg,,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,"22,00,00,000","$30,30,00,000.00"
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Benh Zeitlin,,Quvenzhané Wallis,Dwight Henry,,,,"18,00,000","$2,19,00,000.00"
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,"6,00,00,000","$6,01,00,000.00"
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Rowan Joffé,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,"2,20,00,000","$1,51,00,000.00"
Ben-Hur,2016-08-19,https://en.wikipedia.org/wiki/Ben-Hur_(2016_film),Adventure,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"10,00,00,000","$4,14,00,000.00"
Beyond the Lights,2014-09-06,https://en.wikipedia.org/wiki/Beyond_the_Lights,Romance,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,"70,00,000","$1,46,00,000.00"
Big Eyes,2014-12-25,https://en.wikipedia.org/wiki/Big_Eyes,Biography,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,"1,00,00,000","$2,93,00,000.00"
Black Mass,2015-09-04,https://en.wikipedia.org/wiki/Black_Mass_(film),Action,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,"5,30,00,000","$9,98,00,000.00"
Blackhat,2015-01-08,https://en.wikipedia.org/wiki/Blackhat_(film),Action,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,"7,00,00,000","$1,97,00,000.00"
Blended,2014-05-23,https://en.wikipedia.org/wiki/Blended_(film),Comedy,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,"4,00,00,000","$12,80,00,000.00"
Blue Jasmine,2013-07-26,https://en.wikipedia.org/wiki/Blue_Jasmine,Drama,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,"1,80,00,000","$9,75,00,000.00"
Boyhood,2014-01-19,https://en.wikipedia.org/wiki/Boyhood_(film),Drama,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,"40,00,000","$4,45,00,000.00"
Brick Mansions,2014-04-23,https://en.wikipedia.org/wiki/Brick_Mansions,Action,Camille Delamarre,,Paul Walker,David Belle,RZA,,,"2,30,00,000","$6,90,00,000.00"
Bridge of Spies,2015-10-04,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),Drama,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,"4,00,00,000","$16,55,00,000.00"
Brooklyn,2015-01-26,https://en.wikipedia.org/wiki/Brooklyn_(film),Drama,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,"1,10,00,000","$6,21,00,000.00"
Bullet to the Head,2013-02-01,https://en.wikipedia.org/wiki/Bullet_to_the_Head,Crime,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,"5,50,00,000","$2,19,00,000.00"
Burnt,2015-10-06,https://en.wikipedia.org/wiki/Burnt_(film),Comedy,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel Brühl,"2,00,00,000","$3,66,00,000.00"
By the Sea,2015-11-05,https://en.wikipedia.org/wiki/By_the_Sea_(2015_film),Drama,Angelina Jolie,,Angelina Jolie,Brad Pitt,Mélanie Laurent,Niels Arestrup,Melvil Poupaud,"1,00,00,000","$33,00,000.00"
Captain America: The Winter Soldier,2014-03-13,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Action,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,"17,00,00,000","$71,44,00,000.00"
Captive,2015-09-18,https://en.wikipedia.org/wiki/Captive_(2015_film),Crime,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,"20,00,000","$28,00,000.00"
Carol,2015-05-17,https://en.wikipedia.org/wiki/Carol_(film),Drama,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,"1,18,00,000","$4,03,00,000.00"
Central Intelligence,2016-06-10,https://en.wikipedia.org/wiki/Central_Intelligence,Action,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,"5,00,00,000","$21,22,00,000.00"
Cesar Chavez,2014-02-12,https://en.wikipedia.org/wiki/Cesar_Chavez_(film),Drama,Diego Luna,,Michael Peña,America Ferrera,Rosario Dawson,John Malkovich,,"1,00,00,000","$67,00,000.00"
Chappie,2015-03-04,https://en.wikipedia.org/wiki/Chappie_(film),Sci-Fi,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,"4,90,00,000","$10,21,00,000.00"
Chasing Mavericks,2012-10-26,https://en.wikipedia.org/wiki/Chasing_Mavericks,Biography,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,"2,00,00,000","$83,00,000.00"
Chef,2014-03-07,https://en.wikipedia.org/wiki/Chef_(film),Comedy,Jon Favreau,,Jon Favreau,Sofía Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,"1,10,00,000","$4,60,00,000.00"
Chernobyl Diaries,2012-05-25,https://en.wikipedia.org/wiki/Chernobyl_Diaries,Horror,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,"10,00,000","$3,72,00,000.00"
Child 44,2015-04-17,https://en.wikipedia.org/wiki/Child_44_(film),Drama,Daniel Espinosa,,Tom Hardy,Gary Oldman,Joel Kinnaman,Noomi Rapace,Jason Clarke,"5,00,00,000","$1,30,00,000.00"
Chronicle,2012-02-03,https://en.wikipedia.org/wiki/Chronicle_(film),Sci-Fi,Josh Trank,,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,,"1,20,00,000","$12,66,00,000.00"
Cloud Atlas,2012-10-26,https://en.wikipedia.org/wiki/Cloud_Atlas_(film),Drama,Tom Tykwer,Andy Wachowski,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,"12,85,00,000","$13,05,00,000.00"
Cloudy with a Chance of Meatballs 2,2013-09-27,https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2,Family,Cody Cameron,Kris Pearn,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,"7,80,00,000","$27,43,00,000.00"
Concussion,2015-12-25,https://en.wikipedia.org/wiki/Concussion_(2015_film),Drama,Peter Landesman,,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,"5,70,00,000","$5,03,00,000.00"
Creed,2015-11-25,https://en.wikipedia.org/wiki/Creed_(film),Drama,Ryan Coogler,,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,"4,00,00,000","$17,36,00,000.00"
Criminal,2016-04-15,https://en.wikipedia.org/wiki/Criminal_(2016_film),Action,Ariel Vromen,,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,"3,15,00,000","$3,56,00,000.00"
Crimson Peak,2015-10-16,https://en.wikipedia.org/wiki/Crimson_Peak,Horror,Guillermo del Toro,,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,"5,50,00,000","$7,47,00,000.00"
Daddy's Home,2015-12-25,https://en.wikipedia.org/wiki/Daddy%2527s_Home_(film),Comedy,Sean Anders,John Morris,Will Ferrell,Mark Wahlberg,Linda Cardellini,,,"6,90,00,000","$24,04,00,000.00"
Danny Collins,2015-03-20,https://en.wikipedia.org/wiki/Danny_Collins_(film),Comedy,Dan Fogelman,,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,"1,00,00,000","$82,00,000.00"
Dark Shadows,2012-05-11,https://en.wikipedia.org/wiki/Dark_Shadows_(film),Comedy,Tim Burton,,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,"15,00,00,000","$24,55,00,000.00"
Dark Skies,2013-02-22,https://en.wikipedia.org/wiki/Dark_Skies_(film),Horror,Scott Charles Stewart,,Keri Russell,Josh Hamilton,Dakota Goyo,,,"35,00,000","$2,64,00,000.00"
Dawn of the Planet of the Apes,2014-06-26,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes,Action,Matt Reeves,,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,"23,50,00,000","$71,06,00,000.00"
Dead Man Down,2013-03-08,https://en.wikipedia.org/wiki/Dead_Man_Down,Action,Niels Arden Oplev,,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,"3,00,00,000","$1,81,00,000.00"
Deadpool,2016-02-08,https://en.wikipedia.org/wiki/Deadpool_(film),Action,Tim Miller,,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,"5,80,00,000","$78,26,00,000.00"
Declaration of War,2012-01-27,https://en.wikipedia.org/wiki/Declaration_of_War_(film),Romance,Valérie Donzelli,,Valérie Donzelli (director),,,,,"15,00,000","$65,00,000.00"
Deliver Us from Evil,2014-07-02,https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film),Horror,Scott Derrickson,Paul Harris,Eric Bana,Édgar Ramírez,Olivia Munn,Joel McHale,,"3,00,00,000","$8,79,00,000.00"
Despicable Me 2,2013-06-20,https://en.wikipedia.org/wiki/Despicable_Me_2,Comedy,Chris Renaud,Pierre Coffin,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,"7,60,00,000","$97,08,00,000.00"
Devil's Due,2014-01-17,https://en.wikipedia.org/wiki/Devil%2527s_Due_(film),Horror,Matt Bettinelli-Olpin,Tyler Gillett,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,"70,00,000","$3,69,00,000.00"
Diary of a Wimpy Kid: Dog Days,2012-08-03,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Comedy,David Bowers,,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,"2,20,00,000","$7,71,00,000.00"
Divergent,2014-03-18,https://en.wikipedia.org/wiki/Divergent_(film),Sci-Fi,Neil Burger,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Zoë Kravitz,"8,50,00,000","$28,89,00,000.00"
Django Unchained,2012-12-25,https://en.wikipedia.org/wiki/Django_Unchained,Action,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,"10,00,00,000","$42,54,00,000.00"
Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,"3,60,00,000","$5,78,00,000.00"
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,"99,00,000","$2,83,00,000.00"
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,"7,00,00,000","$34,88,00,000.00"
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,"7,00,00,000","$21,71,00,000.00"
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,"2,50,00,000","$2,95,00,000.00"
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,"6,50,00,000","$12,00,00,000.00"
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,"5,00,00,000","$16,98,00,000.00"
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,"1,30,00,000","$4,53,00,000.00"
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,"2,30,00,000","$4,62,00,000.00"
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Doug Liman,,Tom Cruise,Emily Blunt,,,,"17,80,00,000","$37,05,00,000.00"
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,"11,50,00,000","$28,61,00,000.00"
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,,,"14,00,000","$28,00,000.00"
End of Watch,2012-09-21,https://en.wikipedia.org/wiki/End_of_Watch,Action,David Ayer,,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,"70,00,000","$4,81,00,000.00"
Enough Said,2013-09-20,https://en.wikipedia.org/wiki/Enough_Said_(film),Comedy,Nicole Holofcener,,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,"80,00,000","$2,53,00,000.00"
Entourage,2015-05-27,https://en.wikipedia.org/wiki/Entourage_(film),Comedy,Doug Ellin,,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,"3,90,00,000","$4,93,00,000.00"
Epic,2013-05-24,https://en.wikipedia.org/wiki/Epic_(2013_film),Adventure,Chris Wedge,,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,"9,30,00,000","$26,84,00,000.00"
Escape from Planet Earth,2013-02-15,https://en.wikipedia.org/wiki/Escape_from_Planet_Earth,Comedy,Cal Brunker,,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,"4,00,00,000","$7,46,00,000.00"
Evil Dead,2013-04-05,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),Horror,Fede Alvarez,,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,"1,70,00,000","$9,75,00,000.00"
Ex Machina,2015-01-21,https://en.wikipedia.org/wiki/Ex_Machina_(film),Sci-Fi,Alex Garland,,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,,,"1,50,00,000","$3,69,00,000.00"
Eye in the Sky,2015-09-11,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(2015_film),Thriller,Gavin Hood,,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,,"1,30,00,000","$3,28,00,000.00"
Fantastic Four,2015-08-04,https://en.wikipedia.org/wiki/Fantastic_Four_(2015_film),Action,Josh Trank,,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,"12,00,00,000","$16,80,00,000.00"
Fast & Furious 6,2013-05-17,https://en.wikipedia.org/wiki/Fast_%2526_Furious_6,Action,Justin Lin,,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,"16,00,00,000","$78,87,00,000.00"
Flight,2012-11-02,https://en.wikipedia.org/wiki/Flight_(2012_film),Drama,Robert Zemeckis,,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,"3,10,00,000","$16,18,00,000.00"
Florence Foster Jenkins,2016-04-27,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film),Biography,Stephen Frears,,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,"1,90,00,000","$3,17,00,000.00"
Frances Ha,2013-05-17,https://en.wikipedia.org/wiki/Frances_Ha,Drama,Noah Baumbach,,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,"30,00,000","$1,13,00,000.00"
Free State of Jones,2016-06-16,https://en.wikipedia.org/wiki/Free_State_of_Jones_(film),Drama,Gary Ross,,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,,"5,00,00,000","$2,12,00,000.00"
Friends with Kids,2012-03-09,https://en.wikipedia.org/wiki/Friends_with_Kids,Comedy,Jennifer Westfeldt,,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,"1,00,00,000","$1,22,00,000.00"
Fun Size,2012-10-26,https://en.wikipedia.org/wiki/Fun_Size,Comedy,Josh Schwartz,,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,"1,40,00,000","$1,14,00,000.00"
Fury,2014-10-15,https://en.wikipedia.org/wiki/Fury_(2014_film),Action,David Ayer,,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal,"6,80,00,000","$21,18,00,000.00"
G.I. Joe: Retaliation,2013-03-27,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Jon Chu,,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,"13,00,00,000","$37,57,00,000.00"
