Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Revenue
The Gift,2015-07-30,https://en.wikipedia.org/wiki/The_Gift_(2015_film),Thriller,Joel Edgerton,,Jason Bateman,Rebecca Hall,Joel Edgerton,,,"50,00,000","$5,90,00,000.00"
The Giver,2014-08-11,https://en.wikipedia.org/wiki/The_Giver_(film),Sci-Fi,Phillip Noyce,,Jeff Bridges,Brenton Thwaites,Meryl Streep,Alexander Skarsgård,Katie Holmes,"2,50,00,000","$6,70,00,000.00"
The Grand Budapest Hotel,2014-02-06,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,Comedy,Wes Anderson,,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"2,30,00,000","$17,48,00,000.00"
The Great Gatsby,2013-05-10,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),Drama,Baz Luhrmann,,Leonardo DiCaprio,Tobey Maguire,Joel Edgerton,Carey Mulligan,Isla Fisher,"10,50,00,000","$35,10,00,000.00"
The Grey,2012-01-27,https://en.wikipedia.org/wiki/The_Grey_(film),Action,Joe Carnahan,,Liam Neeson,Frank Grillo,Dermot Mulroney,Dallas Roberts,,"2,50,00,000","$7,73,00,000.00"
The Gunman,2015-03-20,https://en.wikipedia.org/wiki/The_Gunman_(film),Thriller,Pierre Morel,,Sean Penn,Javier Bardem,Ray Winstone,Idris Elba,Mark Rylance,"4,00,00,000","$2,42,00,000.00"
The Hangover Part III,2013-05-23,https://en.wikipedia.org/wiki/The_Hangover_Part_III,Comedy,Todd Phillips,,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong,"10,30,00,000","$36,20,00,000.00"
The Hateful Eight,2015-12-25,https://en.wikipedia.org/wiki/The_Hateful_Eight,Drama,Quentin Tarantino,,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Tim Roth,"4,40,00,000","$15,58,00,000.00"
The Heat,2013-06-28,https://en.wikipedia.org/wiki/The_Heat_(film),Action,Paul Feig,,Sandra Bullock,Melissa McCarthy,Kaitlin Olson,Tony Hale,Demian Bichir,"4,30,00,000","$22,99,00,000.00"
The Hobbit: The Battle of the Five Armies,2014-12-01,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,Adventure,Peter Jackson,,Ian McKellen,Martin Freeman,Richard Armitage,Evangeline Lilly,Luke Evans,"25,00,00,000","$95,60,00,000.00"
The Host,2013-03-29,https://en.wikipedia.org/wiki/The_Host_(2013_film),Sci-Fi,Andrew Niccol,,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,William Hurt,"4,00,00,000","$6,33,00,000.00"
The Hundred-Foot Journey,2014-08-08,https://en.wikipedia.org/wiki/The_Hundred-Foot_Journey_(film),Drama,Lasse Hallström,,Helen Mirren,Manish Dayal,,,,"2,20,00,000","$8,89,00,000.00"
The Hunger Games,2012-03-23,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),Action,Gary Ross,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Wes Bentley,Elizabeth Banks,"7,80,00,000","$69,44,00,000.00"
The Hunger Games: Mockingjay – Part 1,2014-11-10,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_1,Sci-Fi,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Woody Harrelson,Julianne Moore,Donald Sutherland,"12,50,00,000","$75,54,00,000.00"
The Hunger Games: Mockingjay – Part 2,2015-11-04,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_2,Sci-Fi,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,"16,00,00,000","$65,34,00,000.00"
The Huntsman: Winter's War,2016-04-22,https://en.wikipedia.org/wiki/The_Huntsman:_Winter%2527s_War,Fantasy,Cedric Nicolas-Troyan,,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,"11,50,00,000","$16,46,00,000.00"
The Iceman,2013-05-03,https://en.wikipedia.org/wiki/The_Iceman_(film),Drama,Ariel Vromen,,Morgan Land (screenplay),Michael Shannon,Winona Ryder,Chris Evans,Ray Liotta,"1,00,00,000","$44,00,000.00"
The Identical,2014-04-17,https://en.wikipedia.org/wiki/The_Identical,Religious,Dustin Marcellino,,Ray Liotta,Ashley Judd,Seth Green,Brian Geraghty,Joe Pantoliano,"1,60,00,000","$28,00,000.00"
The Imitation Game,2014-08-29,https://en.wikipedia.org/wiki/The_Imitation_Game,Drama,Morten Tyldum,,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,"1,40,00,000","$23,36,00,000.00"
The Impossible,2012-12-21,https://en.wikipedia.org/wiki/The_Impossible_(2012_film),Drama,Juan Antonio Bayona,,Naomi Watts,Ewan McGregor,,,,"4,50,00,000","$18,03,00,000.00"
The Incredible Burt Wonderstone,2013-03-15,https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone,Comedy,Don Scardino,,Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,"3,40,00,000","$2,74,00,000.00"
The Infiltrator,2016-07-13,https://en.wikipedia.org/wiki/The_Infiltrator_(2016_film),Drama,Brad Furman,,Bryan Cranston,Diane Kruger,Benjamin Bratt,John Leguizamo,Amy Ryan,"4,75,00,000","$1,52,00,000.00"
The Intern,2015-09-15,https://en.wikipedia.org/wiki/The_Intern_(2015_film),Comedy,Nancy Meyers,,Robert De Niro,Anne Hathaway,Rene Russo,Adam DeVine,Anders Holm,"4,40,00,000","$19,46,00,000.00"
The Internship,2013-06-07,https://en.wikipedia.org/wiki/The_Internship,Comedy,Shawn Levy,,Vince Vaughn,Owen Wilson,Dylan O'Brien,Rose Byrne,Jessica Szohr,"5,80,00,000","$9,30,00,000.00"
The Interview,2014-12-11,https://en.wikipedia.org/wiki/The_Interview_(2014_film),Action,Seth Rogen,Evan Goldberg,Seth Rogen,James Franco,Lizzy Caplan,,,"4,40,00,000","$1,13,00,000.00"
The Judge,2014-09-04,https://en.wikipedia.org/wiki/The_Judge_(2014_film),Comedy,David Dobkin,,Robert Downey,Jr.,Robert Duvall,Vera Farmiga,Billy Bob Thornton,"5,00,00,000","$8,44,00,000.00"
The Lady in the Van,2015-12-04,https://en.wikipedia.org/wiki/The_Lady_in_the_Van,Comedy,Nicholas Hytner,,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,"60,00,000","$4,14,00,000.00"
The Last Exorcism Part II,2013-03-01,https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II,Horror,Ed Gass-Donnelly,,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,"50,00,000","$1,51,00,000.00"
The Last Stand,2013-01-18,https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film),Action,Kim Ji-woon,,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,"4,50,00,000","$4,83,00,000.00"
The Last Witch Hunter,2015-10-23,https://en.wikipedia.org/wiki/The_Last_Witch_Hunter,Action,Breck Eisner,,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,,"9,00,00,000","$14,04,00,000.00"
The Lazarus Effect,2015-02-27,https://en.wikipedia.org/wiki/The_Lazarus_Effect_(2015_film),Horror,David Gelb,,Olivia Wilde,Mark Duplass,Donald Glover,,,"33,00,000","$3,84,00,000.00"
The Legend of Hercules,2014-01-10,https://en.wikipedia.org/wiki/The_Legend_of_Hercules,Action,Renny Harlin,,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,"7,00,00,000","$6,13,00,000.00"
The Legend of Tarzan,2016-07-01,https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film),Action,David Yates,,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,"18,00,00,000","$35,27,00,000.00"
The Lego Movie,2014-02-01,https://en.wikipedia.org/wiki/The_Lego_Movie,Family,Phil Lord,Chris Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,"6,00,00,000","$46,92,00,000.00"
The Letters,2015-12-04,https://en.wikipedia.org/wiki/The_Letters_(film),Drama,William Riead,,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,,"10,00,000","$16,00,000.00"
The Lucky One,2012-04-20,https://en.wikipedia.org/wiki/The_Lucky_One_(film),Drama,Scott Hicks,,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,"2,50,00,000","$9,94,00,000.00"
The Man from U.N.C.L.E.,2015-08-07,https://en.wikipedia.org/wiki/The_Man_from_U.N.C.L.E._(film),Action,Guy Ritchie,,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,"7,50,00,000","$10,98,00,000.00"
The Man with the Iron Fists,2012-11-02,https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists,Action,RZA,,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,"2,00,00,000","$2,03,00,000.00"
The Martian,2015-09-11,https://en.wikipedia.org/wiki/The_Martian_(film),Sci-Fi,Ridley Scott,,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,"10,80,00,000","$63,02,00,000.00"
The Master,2012-09-14,https://en.wikipedia.org/wiki/The_Master_(2012_film),Drama,Paul Thomas Anderson,,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,"3,20,00,000","$2,83,00,000.00"
The Maze Runner,2014-09-19,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),Sci-Fi,Wes Ball,,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,"3,40,00,000","$34,83,00,000.00"
The Mermaid,2016-02-08,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Sci-Fi,Stephen Chow,,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,"6,07,20,000","$55,38,00,000.00"
The Monuments Men,2014-02-07,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,"7,00,00,000","$15,50,00,000.00"
The Mortal Instruments: City of Bones,2013-08-21,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Action,Harald Zwart,,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,"6,00,00,000","$9,06,00,000.00"
The Night Before,2015-11-20,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comedy,Jonathan Levine,,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,,,"2,50,00,000","$5,24,00,000.00"
The November Man,2014-08-27,https://en.wikipedia.org/wiki/The_November_Man,Thriller,Roger Donaldson,,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,"1,50,00,000","$3,48,00,000.00"
The Nut Job,2014-01-11,https://en.wikipedia.org/wiki/The_Nut_Job,Family,Peter Lepeniotis,,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,"4,28,00,000","$12,09,00,000.00"
The Oogieloves in the Big Balloon Adventure,2012-08-29,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,Family,Matthew Diamond,,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,"2,00,00,000","$11,00,000.00"
The Other Woman,2014-03-31,https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film),Comedy,Nick Cassavetes,,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,"4,00,00,000","$19,67,00,000.00"
The Peanuts Movie,2015-11-01,https://en.wikipedia.org/wiki/The_Peanuts_Movie,Animation,Steve Martino,,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,"9,90,00,000","$24,62,00,000.00"
The Perfect Guy,2015-09-02,https://en.wikipedia.org/wiki/The_Perfect_Guy_(2015_film),Thriller,David M. Rosenthal,,Sanaa Lathan,Michael Ealy,Morris Chestnut,,,"1,80,00,000","$6,03,00,000.00"
The Perfect Match,2016-03-11,https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film),Romance,Bille Woodruff,,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,"50,00,000","$1,04,00,000.00"
The Perks of Being a Wallflower,2012-09-21,https://en.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower_(film),Drama,Stephen Chbosky,,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,"1,30,00,000","$3,34,00,000.00"
The Pirates! Band of Misfits,2012-04-27,https://en.wikipedia.org/wiki/The_Pirates!_In_an_Adventure_with_Scientists_(film),Comedy,Peter Lord,Jeff Newitt,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,"5,50,00,000","$12,30,00,000.00"
The Place Beyond the Pines,2013-03-29,https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines,Crime,Derek Cianfrance,,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,"1,50,00,000","$4,70,00,000.00"
The Possession,2012-08-31,https://en.wikipedia.org/wiki/The_Possession_(2012_film),Horror,Ole Bornedal,,Jeffrey Dean Morgan,Kyra Sedgwick,,,,"1,40,00,000","$7,85,00,000.00"
The Purge,2013-05-31,https://en.wikipedia.org/wiki/The_Purge,Sci-Fi,James DeMonaco,,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,"30,00,000","$8,93,00,000.00"
The Purge: Election Year,2016-07-01,https://en.wikipedia.org/wiki/The_Purge:_Election_Year,Horror,James DeMonaco,,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,"1,00,00,000","$10,56,00,000.00"
The Raid 2,2014-01-21,https://en.wikipedia.org/wiki/The_Raid_2,Action,Gareth Evans,,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,"45,00,000","$66,00,000.00"
The Raid: Redemption ₪,2012-03-23,https://en.wikipedia.org/wiki/The_Raid:_Redemption,Action,Gareth Evans,,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,"11,00,000","$91,40,000.00"
The Raven,2012-04-27,https://en.wikipedia.org/wiki/The_Raven_(2012_film),Thriller,James McTeigue,,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,"2,60,00,000","$2,97,00,000.00"
The Revenant,2015-12-25,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),Thriller,Alejandro G. Iñárritu,,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,,"13,50,00,000","$53,30,00,000.00"
